date,img,color
2013-08-29 01:09:42,4539,"(0.27450980392156865, 0.22745098039215686, 0.2549019607843137)"
2013-08-29 01:09:42,5728,"(0.1411764705882353, 0.1450980392156863, 0.16862745098039217)"
2013-08-29 01:09:42,9193,"(0.14901960784313725, 0.1450980392156863, 0.16862745098039217)"
2013-08-29 01:09:42,3550,"(0.1411764705882353, 0.1450980392156863, 0.16862745098039217)"
2013-08-29 01:09:42,5827,"(0.4666666666666667, 0.3568627450980392, 0.4196078431372549)"
2013-08-29 01:09:42,3451,"(0.23921568627450981, 0.29411764705882354, 0.38823529411764707)"
2013-08-29 01:09:42,8500,"(0.1843137254901961, 0.18823529411764706, 0.23921568627450981)"
2013-08-29 01:09:42,3352,"(0.8549019607843137, 0.7529411764705882, 0.7764705882352941)"
2013-08-29 01:09:42,5926,"(0.8274509803921568, 0.8156862745098039, 0.8549019607843137)"
2013-08-29 01:09:42,6025,"(0.8901960784313725, 0.8901960784313725, 0.8901960784313725)"
2013-08-29 01:09:42,3253,"(0.8392156862745098, 0.5254901960784314, 0.5568627450980392)"
2013-08-29 01:09:42,84,"(0.19215686274509805, 0.1843137254901961, 0.19215686274509805)"
2013-08-29 01:09:42,9292,"(0.9019607843137255, 0.9019607843137255, 0.9137254901960784)"
2013-08-29 01:09:42,6124,"(0.49411764705882355, 0.27450980392156865, 0.3254901960784314)"
2013-08-29 01:09:42,3154,"(0.7725490196078432, 0.13725490196078433, 0.21176470588235294)"
2013-08-29 01:09:42,6223,"(0.8941176470588236, 0.7803921568627451, 0.7607843137254902)"
2013-08-29 01:09:42,8401,"(0.3803921568627451, 0.4549019607843137, 0.5411764705882353)"
2013-08-29 01:09:42,3055,"(0.8313725490196079, 0.6235294117647059, 0.6549019607843137)"
2013-08-29 01:09:42,2956,"(0.792156862745098, 0.7803921568627451, 0.7607843137254902)"
2013-08-29 01:09:42,975,"(0.3333333333333333, 0.3137254901960784, 0.32941176470588235)"
2013-08-29 01:09:42,9391,"(0.16470588235294117, 0.13725490196078433, 0.19607843137254902)"
2013-08-29 01:09:42,480,"(0.8705882352941177, 0.8392156862745098, 0.8627450980392157)"
2013-08-29 01:09:42,2857,"(0.1568627450980392, 0.20392156862745098, 0.3568627450980392)"
2013-08-29 01:09:42,6421,"(0.08627450980392157, 0.08627450980392157, 0.08627450980392157)"
2013-08-29 01:09:42,2758,"(0.8313725490196079, 0.6980392156862745, 0.6392156862745098)"
2013-08-29 01:09:42,6520,"(0.13333333333333333, 0.15294117647058825, 0.17254901960784313)"
2013-08-29 01:09:42,876,"(0.6431372549019608, 0.5137254901960784, 0.49019607843137253)"
2013-08-29 01:09:42,3649,"(0.807843137254902, 0.615686274509804, 0.5176470588235295)"
2013-08-29 01:09:42,579,"(0.796078431372549, 0.7529411764705882, 0.7254901960784313)"
2013-08-29 01:09:42,183,"(0.10588235294117647, 0.24705882352941178, 0.38823529411764707)"
2013-08-29 01:09:42,4837,"(0.8235294117647058, 0.6313725490196078, 0.6745098039215687)"
2013-08-29 01:09:42,4639,"(0.9058823529411765, 0.8823529411764706, 0.7725490196078432)"
2013-08-29 01:09:42,8797,"(0.23529411764705882, 0.23137254901960785, 0.27058823529411763)"
2013-08-29 01:09:42,4936,"(0.8549019607843137, 0.8666666666666667, 0.8705882352941177)"
2013-08-29 01:09:42,8896,"(0.13333333333333333, 0.13333333333333333, 0.1568627450980392)"
2013-08-29 01:09:42,678,"(0.8549019607843137, 0.8313725490196079, 0.8823529411764706)"
2013-08-29 01:09:42,5034,"(0.45098039215686275, 0.4196078431372549, 0.4)"
2013-08-29 01:09:42,4440,"(0.12941176470588237, 0.09803921568627451, 0.10196078431372549)"
2013-08-29 01:09:42,4341,"(0.1411764705882353, 0.14901960784313725, 0.16470588235294117)"
2013-08-29 01:09:42,5133,"(0.8588235294117647, 0.792156862745098, 0.788235294117647)"
2013-08-29 01:09:42,777,"(0.18823529411764706, 0.17647058823529413, 0.21568627450980393)"
2013-08-29 01:09:42,8698,"(0.17254901960784313, 0.26666666666666666, 0.3254901960784314)"
2013-08-29 01:09:42,8302,"(0.8470588235294118, 0.8352941176470589, 0.8117647058823529)"
2013-08-29 01:09:42,4242,"(0.792156862745098, 0.6980392156862745, 0.7607843137254902)"
2013-08-29 01:09:42,5232,"(0.7647058823529411, 0.792156862745098, 0.8470588235294118)"
2013-08-29 01:09:42,4143,"(0.7607843137254902, 0.792156862745098, 0.8156862745098039)"
2013-08-29 01:09:42,4044,"(0.5607843137254902, 0.6313725490196078, 0.2980392156862745)"
2013-08-29 01:09:42,5332,"(0.11372549019607843, 0.3607843137254902, 0.18823529411764706)"
2013-08-29 01:09:42,5431,"(0.7490196078431373, 0.6941176470588235, 0.6705882352941176)"
2013-08-29 01:09:42,3945,"(0.8196078431372549, 0.615686274509804, 0.6196078431372549)"
2013-08-29 01:09:42,5530,"(0.403921568627451, 0.5529411764705883, 0.34509803921568627)"
2013-08-29 01:09:42,9094,"(0.1568627450980392, 0.3764705882352941, 0.5686274509803921)"
2013-08-29 01:09:42,8599,"(0.6980392156862745, 0.6745098039215687, 0.6901960784313725)"
2013-08-29 01:09:42,3846,"(0.7058823529411765, 0.6980392156862745, 0.7176470588235294)"
2013-08-29 01:09:42,5629,"(0.8705882352941177, 0.8, 0.7568627450980392)"
2013-08-29 01:09:42,3747,"(0.9098039215686274, 0.807843137254902, 0.7843137254901961)"
2013-08-29 01:09:42,8995,"(0.9176470588235294, 0.6039215686274509, 0.5450980392156862)"
2013-08-29 01:09:42,2659,"(0.6745098039215687, 0.5490196078431373, 0.4745098039215686)"
2013-08-29 01:09:42,6322,"(0.803921568627451, 0.7764705882352941, 0.792156862745098)"
2013-08-29 01:09:42,4738,"(0.8, 0.5098039215686274, 0.3137254901960784)"
2013-08-29 01:09:42,1470,"(0.5686274509803921, 0.0392156862745098, 0.09803921568627451)"
2013-08-29 01:09:42,2164,"(0.11764705882352941, 0.15294117647058825, 0.39215686274509803)"
2013-08-29 01:09:42,7114,"(0.8274509803921568, 0.7647058823529411, 0.7411764705882353)"
2013-08-29 01:09:42,7609,"(0.23921568627450981, 0.23137254901960785, 0.27450980392156865)"
2013-08-29 01:09:42,381,"(0.25098039215686274, 0.2196078431372549, 0.22745098039215686)"
2013-08-29 01:09:42,2065,"(0.07058823529411765, 0.5058823529411764, 0.4117647058823529)"
2013-08-29 01:09:42,1173,"(0.3686274509803922, 0.3843137254901961, 0.33725490196078434)"
2013-08-29 01:09:42,7213,"(0.796078431372549, 0.6901960784313725, 0.6509803921568628)"
2013-08-29 01:09:42,8104,"(0.6901960784313725, 0.7215686274509804, 0.788235294117647)"
2013-08-29 01:09:42,1966,"(0.18823529411764706, 0.23137254901960785, 0.17254901960784313)"
2013-08-29 01:09:42,1569,"(0.45098039215686275, 0.4196078431372549, 0.4)"
2013-08-29 01:09:42,9688,"(0.27450980392156865, 0.27058823529411763, 0.29411764705882354)"
2013-08-29 01:09:42,9787,"(0.8823529411764706, 0.7607843137254902, 0.7372549019607844)"
2013-08-29 01:09:42,1866,"(0.3686274509803922, 0.35294117647058826, 0.37254901960784315)"
2013-08-29 01:09:42,7312,"(0.8470588235294118, 0.7803921568627451, 0.7529411764705882)"
